2021-07-19 13:59:11,714 [1] INFO  seller.dhgatemessage - 日志, 初始化LoggerSystem成功
2021-07-19 13:59:11,722 [1] INFO  seller.dhgatemessage - 日志, 没有初始化LoggerRecordData, 调用记录日志将忽略
2021-07-19 13:59:11,722 [1] INFO  seller.dhgatemessage - 已存在计数器类别无需创建, Name:YQ-Track.BackendServer.DHgateMessageSchedule
2021-07-19 13:59:11,722 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:WarnCount, Type:NumberOfItems64
2021-07-19 13:59:11,722 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:AllDelta, Type:CounterDelta64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:SuccessCount, Type:NumberOfItems64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:FailDelta, Type:CounterDelta64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:SuccessDelta, Type:CounterDelta64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:FailCount, Type:NumberOfItems64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:AllCount, Type:NumberOfItems64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:WarnDelta, Type:CounterDelta64
2021-07-19 13:59:11,723 [1] INFO  seller.dhgatemessage - 初始化计数器类别完成, Name:YQ-Track.BackendServer.DHgateMessageSchedule, IsSingle:False
2021-07-19 13:59:11,883 [1] INFO  seller.dhgatemessage - InitDBShardingConfigBegin:{"DBType":null,"nodeCount":1,"dbCount":8,"entityCount":0}
2021-07-19 13:59:11,887 [1] INFO  seller.dhgatemessage - InitDBShardingConfigEnd:["seller"]
2021-07-19 13:59:11,887 [1] INFO  seller.dhgatemessage - InitDBShardingConfigBegin:{"DBType":null,"nodeCount":1,"dbCount":4,"entityCount":0}
2021-07-19 13:59:11,887 [1] INFO  seller.dhgatemessage - InitDBShardingConfigEnd:["seller","sellermessage"]
2021-07-19 13:59:11,887 [1] INFO  seller.dhgatemessage - ScheduleInitialized:"DBShardingRouteFactory"
2021-07-19 13:59:11,892 [1] INFO  seller.dhgatemessage - 已存在计数器类别无需创建, Name:YQ-Track.BackendServer.DHgateMessageSync
2021-07-19 13:59:11,892 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:NoUpdateCount, Type:NumberOfItems64
2021-07-19 13:59:11,892 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:NoUpdateDelta, Type:CounterDelta64
